N E X T F L O W  ~  version 23.04.2
Pulling raab-lab/rnaseq ...
 Already-up-to-date
Launching `https://github.com/raab-lab/rnaseq` [elated_lamarr] DSL2 - revision: cf9e65a753 [main]
[9a/241a96] Submitted process > RNASEQ:check_ss (Samplesheet)
[61/6adb5f] Submitted process > RNASEQ:fastqc (1_Ms1373_sox9.egfp_chow_1)
[ff/f6a710] Submitted process > RNASEQ:fastqc (1_Ms1638_sox9.egfp_chow_2)
[4b/1f305b] Submitted process > RNASEQ:star (1_Ms1373_sox9.egfp_chow_1)
[6b/9b0441] Submitted process > RNASEQ:star (1_Ms1638_sox9.egfp_chow_2)
[4f/891081] Submitted process > RNASEQ:salmon (1_Ms1373_sox9.egfp_chow_1)
[cc/bfb865] Submitted process > RNASEQ:salmon (1_Ms1638_sox9.egfp_chow_2)
[e6/8865a4] Submitted process > RNASEQ:star (1_Ms1710_sox9.egfp_chow_3)
[82/d0d8a0] Submitted process > RNASEQ:fastqc (1_Ms1724_sox9.egfp_chow_4)
[16/4d5fbc] Submitted process > RNASEQ:fastqc (1_Ms1710_sox9.egfp_chow_3)
[28/5fc4d5] Submitted process > RNASEQ:salmon (1_Ms1724_sox9.egfp_chow_4)
[4d/da3956] Submitted process > RNASEQ:star (1_Ms1724_sox9.egfp_chow_4)
[f8/d07cd6] Submitted process > RNASEQ:salmon (1_Ms1710_sox9.egfp_chow_3)
[a4/6e8d78] Submitted process > RNASEQ:fastqc (1_Ms1153_sox9.egfp_6wk.ddc_1)
[2c/f91f25] Submitted process > RNASEQ:star (1_Ms1153_sox9.egfp_6wk.ddc_1)
[55/8c9021] Submitted process > RNASEQ:star (1_Ms1154_sox9.egfp_6wk.ddc_2)
[cf/000abf] Submitted process > RNASEQ:fastqc (1_Ms1154_sox9.egfp_6wk.ddc_2)
[3c/cfed35] Submitted process > RNASEQ:salmon (1_Ms1153_sox9.egfp_6wk.ddc_1)
[d1/41a4e7] Submitted process > RNASEQ:fastqc (1_Ms1176_sox9.egfp_6wk.ddc_3)
[f1/e4f08a] Submitted process > RNASEQ:salmon (1_Ms1154_sox9.egfp_6wk.ddc_2)
[1f/e57e97] Submitted process > RNASEQ:star (1_Ms1607_sox9.egfp_6wk.ddc_4)
[bc/aba76a] Submitted process > RNASEQ:salmon (1_Ms1176_sox9.egfp_6wk.ddc_3)
[ac/6224b9] Submitted process > RNASEQ:star (1_Ms1176_sox9.egfp_6wk.ddc_3)
[77/b73ff6] Submitted process > RNASEQ:fastqc (1_Ms1607_sox9.egfp_6wk.ddc_4)
[3e/b17f8c] Submitted process > RNASEQ:salmon (1_Ms1607_sox9.egfp_6wk.ddc_4)
[5a/214371] Submitted process > RNASEQ:picard_cmm (1_Ms1176_sox9.egfp_6wk.ddc_3)
[d7/6a9925] Submitted process > RNASEQ:cov_rev (1_Ms1176_sox9.egfp_6wk.ddc_3)
[90/2f1834] Submitted process > RNASEQ:cov_fw (1_Ms1176_sox9.egfp_6wk.ddc_3)
[6a/3398d3] Submitted process > RNASEQ:picard_crsm (1_Ms1176_sox9.egfp_6wk.ddc_3)
[b4/c51983] Submitted process > RNASEQ:picard_cmm (1_Ms1638_sox9.egfp_chow_2)
[61/102c10] Submitted process > RNASEQ:cov_rev (1_Ms1638_sox9.egfp_chow_2)
[0c/cbe6e3] Submitted process > RNASEQ:picard_crsm (1_Ms1638_sox9.egfp_chow_2)
[05/7d46b3] Submitted process > RNASEQ:cov_fw (1_Ms1638_sox9.egfp_chow_2)
[6b/2ae70e] Submitted process > RNASEQ:picard_cmm (1_Ms1154_sox9.egfp_6wk.ddc_2)
[3c/074de3] Submitted process > RNASEQ:cov_fw (1_Ms1154_sox9.egfp_6wk.ddc_2)
[ef/2d5ab3] Submitted process > RNASEQ:picard_crsm (1_Ms1154_sox9.egfp_6wk.ddc_2)
[6c/1a6433] Submitted process > RNASEQ:cov_rev (1_Ms1154_sox9.egfp_6wk.ddc_2)
[15/201131] Submitted process > RNASEQ:picard_crsm (1_Ms1710_sox9.egfp_chow_3)
[5c/3441d2] Submitted process > RNASEQ:cov_fw (1_Ms1710_sox9.egfp_chow_3)
[69/adc78a] Submitted process > RNASEQ:cov_rev (1_Ms1710_sox9.egfp_chow_3)
[af/824b0b] Submitted process > RNASEQ:picard_cmm (1_Ms1710_sox9.egfp_chow_3)
[4b/cc2455] Submitted process > RNASEQ:picard_cmm (1_Ms1153_sox9.egfp_6wk.ddc_1)
[27/a738af] Submitted process > RNASEQ:cov_rev (1_Ms1153_sox9.egfp_6wk.ddc_1)
[0e/cea013] Submitted process > RNASEQ:cov_fw (1_Ms1153_sox9.egfp_6wk.ddc_1)
[1e/10582f] Submitted process > RNASEQ:picard_crsm (1_Ms1153_sox9.egfp_6wk.ddc_1)
[1f/0a76e0] Submitted process > RNASEQ:picard_cmm (1_Ms1724_sox9.egfp_chow_4)
[63/fdd0f2] Submitted process > RNASEQ:cov_rev (1_Ms1724_sox9.egfp_chow_4)
[b7/df3486] Submitted process > RNASEQ:cov_fw (1_Ms1724_sox9.egfp_chow_4)
[31/adf24a] Submitted process > RNASEQ:picard_crsm (1_Ms1724_sox9.egfp_chow_4)
[16/153a4d] Submitted process > RNASEQ:cov_rev (1_Ms1373_sox9.egfp_chow_1)
[49/791190] Submitted process > RNASEQ:cov_fw (1_Ms1373_sox9.egfp_chow_1)
[67/2855e1] Submitted process > RNASEQ:picard_crsm (1_Ms1373_sox9.egfp_chow_1)
[74/f247b7] Submitted process > RNASEQ:picard_cmm (1_Ms1373_sox9.egfp_chow_1)
[62/4b38bd] Submitted process > RNASEQ:cov_rev (1_Ms1607_sox9.egfp_6wk.ddc_4)
[d1/99f24f] Submitted process > RNASEQ:cov_fw (1_Ms1607_sox9.egfp_6wk.ddc_4)
[7d/bfccc0] Submitted process > RNASEQ:picard_cmm (1_Ms1607_sox9.egfp_6wk.ddc_4)
[06/b0bbb5] Submitted process > RNASEQ:picard_crsm (1_Ms1607_sox9.egfp_6wk.ddc_4)
[45/3174ee] Submitted process > RNASEQ:multiqc
